,Date,Calculated Price
825,1968-10-01,22.90393964112671
824,1968-09-01,22.50116872102044
823,1968-08-01,21.90534338105573
822,1968-07-01,21.16253828717586
821,1968-06-01,21.57901324276115
820,1968-05-01,21.568229128197054
819,1968-04-01,20.9522334643453
818,1968-03-01,20.42924479752857
817,1968-02-01,18.975705737997927
816,1968-01-01,19.276417856560265
815,1967-12-01,20.134131874410137
814,1967-11-01,20.1381595063114
813,1967-10-01,19.530753085356807
812,1967-09-01,20.10991874521912
811,1967-08-01,20.089828916302817
810,1967-07-01,19.763727413972276
809,1967-06-01,19.404739728986037
808,1967-05-01,19.026119942137502
807,1967-04-01,19.216361925196953
806,1967-03-01,18.82849492964624
805,1967-02-01,18.461118668150053
804,1967-01-01,17.98803338999323
803,1966-12-01,17.341206391587033
802,1966-11-01,16.653420139812763
801,1966-10-01,16.53437265668463
800,1966-09-01,15.699176468557381
799,1966-08-01,15.787586955508228
798,1966-07-01,16.31286108236023
797,1966-06-01,17.311748999639423
796,1966-05-01,17.30828734217099
795,1966-04-01,17.405759595908073
794,1966-03-01,18.323781025274318
793,1966-02-01,17.734979699258922
792,1966-01-01,18.447035260306762
791,1965-12-01,18.526700070610385
790,1965-11-01,18.166993597382216
789,1965-10-01,18.20522456897707
788,1965-09-01,18.010708912719696
787,1965-08-01,17.57142332948263
786,1965-07-01,16.960833329616438
785,1965-06-01,16.608728289871166
784,1965-05-01,16.59213615371745
783,1965-04-01,17.37578401268976
782,1965-03-01,17.080294910734057
781,1965-02-01,16.817935122818096
780,1965-01-01,16.760947899958236
779,1964-12-01,16.598284709802172
778,1964-11-01,16.143050680608997
777,1964-10-01,16.387220262520554
776,1964-09-01,16.234614882623887
775,1964-08-01,15.920971739358524
774,1964-07-01,15.613387995840466
773,1964-06-01,15.807824233917652
772,1964-05-01,15.20567933235634
771,1964-04-01,15.259086133824725
770,1964-03-01,15.075169071156616
769,1964-02-01,14.824632777221572
768,1964-01-01,14.523986261606321
767,1963-12-01,14.312166201819396
766,1963-11-01,13.85093022531636
765,1963-10-01,13.527620104811367
764,1963-09-01,13.56968613182001
763,1963-08-01,13.5021752555423
762,1963-07-01,13.122922786998057
761,1963-06-01,12.736991931474384
