,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
247,FE,FirstEnergy Corp.,21920668560,Utilities,Utilities—Regulated Electric,0.473,38.16,1.64,708147,New York Stock Exchange,NYSE,US,False,False,True
248,ROL,"Rollins, Inc.",21801438675,Consumer Cyclical,Personal Services,0.632,45.055,0.6,271784,New York Stock Exchange,NYSE,US,False,False,True
249,WRB,W. R. Berkley Corporation,21666845711,Financial Services,Insurance—Property & Casualty,0.568,84.455,0.44,122750,New York Stock Exchange,NYSE,US,False,False,True
250,VLTO,Veralto Corporation,21569856000,Industrials,Pollution And Treatment Controls,1.55,87.54,0.36,222520,New York Stock Exchange,NYSE,US,False,False,True
251,IOT,Samsara Inc.,21546704831,Technology,Software—Infrastructure,1.551,39.875,0.0,3676477,New York Stock Exchange,NYSE,US,False,False,True
252,INVH,Invitation Homes Inc.,21360393990,Real Estate,REIT—Residential,0.94,34.905,1.12,343222,New York Stock Exchange,NYSE,US,False,False,True
253,ES,Eversource Energy,21115849495,Utilities,Utilities—Regulated Electric,0.596,60.385,2.86,552005,New York Stock Exchange,NYSE,US,False,False,True
254,GPC,Genuine Parts Company,21057752805,Consumer Cyclical,Specialty Retail,0.945,151.035,4.0,350577,New York Stock Exchange,NYSE,US,False,False,True
255,FLT,"FLEETCOR Technologies, Inc.",20980532664,Technology,Software—Infrastructure,1.223,291.99,0.0,61938,New York Stock Exchange,NYSE,US,False,False,True
256,WAT,Waters Corporation,20865364344,Healthcare,Diagnostics & Research,0.926,352.44,0.0,75917,New York Stock Exchange,NYSE,US,False,False,True
257,BALL,Ball Corporation,20668238160,Consumer Cyclical,Packaging & Containers,0.892,65.48,0.8,196900,New York Stock Exchange,NYSE,US,False,False,True
258,IFF,International Flavors & Fragrances Inc.,20586048450,Basic Materials,Specialty Chemicals,1.229,80.63,1.6,419602,New York Stock Exchange,NYSE,US,False,False,True
259,DRI,"Darden Restaurants, Inc.",20481374720,Consumer Cyclical,Restaurants,1.253,171.52,5.14,176900,New York Stock Exchange,NYSE,US,False,False,True
260,HUBB,Hubbell Incorporated,20472643520,Industrials,Electrical Equipment & Parts,0.932,381.76,4.88,91477,New York Stock Exchange,NYSE,US,False,False,True
261,VST,Vistra Corp.,20319962850,Utilities,Utilities—Independent Power Producers,1.039,58.41,0.86,2831821,New York Stock Exchange,NYSE,US,False,False,True
262,CCL,Carnival Corporation & plc,20234478574,Consumer Cyclical,Travel Services,2.55,16.15,0.0,8294287,New York Stock Exchange,NYSE,US,False,False,True
263,TDY,Teledyne Technologies Incorporated,20122652136,Technology,Scientific & Technical Instruments,1.017,424.74,0.0,33890,New York Stock Exchange,NYSE,US,False,False,True
264,LUV,Southwest Airlines Co.,20068827275,Industrials,Airlines,1.163,33.635,0.72,1297763,New York Stock Exchange,NYSE,US,False,False,True
265,PPL,PPL Corporation,20036985495,Utilities,Utilities—Regulated Electric,0.824,27.165,1.03,931547,New York Stock Exchange,NYSE,US,False,False,True
266,SNAP,Snap Inc.,19700294340,Communication Services,Internet Content & Information,1.131,11.935,0.0,9641206,New York Stock Exchange,NYSE,US,False,False,True
267,CTRA,Coterra Energy Inc.,19645762110,Energy,Oil & Gas E&P,0.19,26.13,0.84,1984912,New York Stock Exchange,NYSE,US,False,False,True
268,MKL,Markel Corporation,19608195681,Financial Services,Insurance—Property & Casualty,0.698,1495.6671,0.0,5769,New York Stock Exchange,NYSE,US,False,False,True
